Name,EmployeId,Gender,Age,MaritalStatus,EducationField,Qualifications,Vertical,Role,Work Experience,DistanceFromHome,Daily,Hour,Monthly,MonthlyRate,OverTime,Hours,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrentManager,TrainingTimesLastYear,Turnover,Travelling,Satisfaction,Engagement,JobLevel,Last Rating,SalaryHike,Work&Life
Adele,IDHR053,F,25,Married,Human Resources,2,Human Resources,Sales Executive,1,1,755,90,6767,12899,Yes,80,10,6,1,8,3,No,Sometimes,4,4,2,4,20,3
Adeline,IDRD590,F,27,Single,Life Sciences,3,Research & Development,Manufacturing Director,1,2,1299,65,9669,20298,No,80,5,4,1,3,2,No,No,1,2,3,3,12,1
Adrian,IDSL090,M,32,Single,Medical,3,Sales,Sales Executive,0,10,558,64,8487,26413,Yes,80,10,7,4,8,0,Yes,Sometimes,2,3,3,3,11,3
Adriana,IDRD440,F,41,Married,Medical,3,Research & Development,Research Scientist,2,20,791,94,3637,13725,Yes,80,7,0,1,3,5,Yes,Sometimes,4,3,1,3,14,3
Adrianna,IDRD715,F,31,Divorced,Life Sciences,1,Research & Development,Research Scientist,0,20,890,72,4932,15105,No,80,2,2,1,2,5,Yes,Mostly,1,3,1,4,20,3
Adrienne,IDRD525,F,36,Single,Medical,4,Research & Development,Research Scientist,3,9,141,56,3621,10089,Yes,80,3,2,4,0,4,Yes,Sometimes,4,3,1,3,11,2
Agnes,IDRD305,F,51,Single,Life Sciences,3,Research & Development,Research Director,1,10,468,98,19450,22562,No,80,14,15,15,16,2,No,Sometimes,1,3,4,3,14,2
Aidan,IDRD384,M,42,Divorced,Technical Degree,4,Research & Development,Manager,4,21,1032,85,18708,4051,No,80,2,1,2,2,2,No,No,4,3,5,3,13,3
Aiden,IDRD241,M,30,Divorced,Medical,3,Research & Development,Research Scientist,1,3,842,60,2876,5880,No,80,6,5,0,5,3,No,Sometimes,3,3,1,3,15,3
Aileen,IDRD827,F,34,Divorced,Life Sciences,3,Research & Development,Healthcare Representative,1,18,1003,49,6187,14328,Yes,80,11,0,1,0,3,No,Sometimes,3,2,2,3,19,3
Aimee,IDRD599,F,40,Divorced,Medical,3,Research & Development,Healthcare Representative,2,2,1225,69,18534,12313,No,80,1,0,0,0,4,No,Sometimes,2,3,2,3,14,1
Alaina,IDSL358,F,46,Single,Life Sciences,2,Sales,Sales Representative,1,4,978,30,2500,8479,No,80,2,4,2,2,3,No,Sometimes,1,1,1,3,15,1
Alan,IDSL058,M,42,Divorced,Marketing,3,Sales,Sales Executive,5,10,1055,99,4240,4000,No,80,3,2,0,0,0,No,Sometimes,2,1,2,3,16,3
Alana,IDSL282,F,44,Married,Medical,2,Sales,Sales Executive,0,2,453,89,4502,14440,No,80,3,2,0,2,4,No,Mostly,3,3,2,4,21,3
Albert,IDRD088,M,29,Single,Life Sciences,3,Research & Development,Research Scientist,3,1,535,87,3305,19991,Yes,80,0,0,0,6,3,Yes,Sometimes,1,4,1,3,14,2
Alberta,IDRD532,F,22,Married,Medical,1,Research & Development,Research Scientist,1,10,1252,34,2899,23787,Yes,80,8,3,1,6,5,Yes,Sometimes,3,3,1,3,18,3
Alberto,IDRD577,M,34,Divorced,Medical,4,Research & Development,Healthcare Representative,7,23,122,33,5509,7401,No,80,9,9,1,8,2,No,No,4,3,2,3,14,3
Alec,IDRD625,M,39,Married,Medical,4,Research & Development,Healthcare Representative,0,25,207,67,4707,9981,No,80,9,0,0,1,1,Yes,No,2,2,2,3,18,3
Alejandra,IDSL317,F,40,Divorced,Marketing,2,Sales,Sales Executive,1,16,261,40,10167,18049,No,80,22,12,15,11,2,No,Sometimes,2,4,4,3,11,3
Alejandro,IDSL165,M,50,Single,Medical,2,Sales,Sales Executive,3,8,1490,74,11666,2243,Yes,80,1,0,0,0,3,Yes,Sometimes,3,3,3,3,19,3
Alex,IDSL076,M,30,Married,Other,3,Sales,Sales Executive,3,2,1327,77,8779,22059,No,80,8,8,5,7,4,Yes,Sometimes,4,2,3,3,11,3
Alexa,IDSL173,F,56,Single,Technical Degree,3,Sales,Sales Executive,8,19,1315,36,19319,21739,Yes,80,10,0,0,8,2,No,Mostly,2,3,3,3,16,3
Alexander,IDRD057,M,51,Married,Life Sciences,4,Research & Development,Laboratory Technician,2,5,142,60,2056,17325,Yes,80,8,7,0,3,3,No,Mostly,3,3,1,3,19,4
Alexandra,IDSL091,F,42,Married,Life Sciences,3,Sales,Sales Representative,1,7,637,56,2830,14968,No,80,13,16,5,17,3,No,Sometimes,3,2,1,3,13,4
Alexandria,IDRD418,F,36,Single,Medical,2,Research & Development,Manufacturing Director,8,4,637,87,4458,23091,No,80,10,7,0,0,4,No,Mostly,4,3,2,3,13,2
Alexia,IDRD729,F,38,Single,Other,3,Research & Development,Manufacturing Director,0,27,230,100,5500,23732,No,80,16,11,1,17,2,No,Sometimes,3,2,3,3,13,3
Alexis,IDRD136,F,33,Married,Medical,3,Research & Development,Manufacturing Director,0,7,794,92,13207,13130,No,80,5,2,3,2,2,No,Sometimes,1,3,3,3,13,2
Alexis,IDRD563,M,48,Married,Medical,2,Research & Development,Healthcare Representative,7,7,503,83,5458,23662,No,80,1,1,0,8,2,No,Sometimes,4,3,3,4,20,3
Alfonso,IDRD762,M,45,Divorced,Life Sciences,4,Research & Development,Manufacturing Director,1,13,403,68,4209,12072,No,80,10,9,1,2,0,No,No,3,4,2,3,14,3
Alfred,IDRD209,M,49,Divorced,Life Sciences,3,Research & Development,Manager,2,15,688,52,16140,17376,No,80,5,2,1,2,2,No,Sometimes,2,1,2,3,17,3
Alfredo,IDSL301,M,35,Married,Medical,3,Sales,Sales Executive,2,4,533,88,4106,13521,Yes,80,3,2,1,2,2,No,Sometimes,2,3,2,3,13,3
Alice,IDRD074,F,34,Married,Technical Degree,3,Research & Development,Healthcare Representative,0,3,111,51,4564,14657,No,80,14,7,1,8,2,No,Sometimes,1,4,2,3,11,2
Alicia,IDRD213,F,34,Divorced,Life Sciences,2,Research & Development,Manufacturing Director,2,1,693,52,4026,11429,No,80,4,2,0,3,1,No,No,3,2,2,4,23,3
Alina,IDSL422,F,56,Married,Marketing,4,Sales,Sales Executive,1,18,618,35,17630,2243,No,80,10,8,0,4,3,No,No,4,3,4,4,22,2
Alisa,IDRD836,F,25,Married,Life Sciences,3,Research & Development,Laboratory Technician,1,27,927,30,2481,12569,No,80,10,8,0,7,2,No,Mostly,4,3,1,3,16,4
Alisha,IDSL280,F,50,Married,Technical Degree,4,Sales,Manager,4,8,167,50,19717,26933,No,80,12,8,4,15,1,No,Sometimes,3,3,4,3,11,3
Alison,IDRD371,F,37,Divorced,Medical,4,Research & Development,Laboratory Technician,1,21,1287,86,4959,6242,No,80,13,12,12,12,2,No,Sometimes,3,3,2,3,15,3
Alissa,IDRD773,F,32,Married,Other,4,Research & Development,Healthcare Representative,1,7,907,43,7481,26583,No,80,10,8,4,7,2,No,Sometimes,3,3,2,3,17,3
Aliyah,IDHR056,F,37,Single,Medical,2,Human Resources,Laboratory Technician,1,3,109,40,2386,5100,No,80,2,2,2,2,2,Yes,Mostly,3,2,1,3,15,3
Allan,IDRD405,M,41,Married,Technical Degree,2,Research & Development,Research Scientist,2,3,880,90,3107,10074,No,80,0,0,0,0,3,No,No,4,4,1,3,12,2
Allen,IDRD187,M,21,Divorced,Life Sciences,4,Research & Development,Research Scientist,4,1,653,32,5008,19470,No,80,4,2,0,3,3,No,No,1,2,2,4,22,2
Allie,IDRD681,F,54,Single,Medical,4,Research & Development,Laboratory Technician,1,1,452,32,2374,13928,No,80,20,8,6,7,2,Yes,Mostly,1,4,1,3,14,4
Allison,IDRD154,F,31,Married,Life Sciences,3,Research & Development,Manager,4,5,600,55,14495,15605,Yes,80,5,3,2,3,2,No,Sometimes,1,3,4,3,11,2
Allyson,IDRD645,F,31,Divorced,Medical,4,Research & Development,Research Scientist,8,1,510,62,2401,4978,No,80,4,2,0,2,5,Yes,No,4,3,1,3,17,3
Alma,IDRD304,F,46,Divorced,Medical,5,Research & Development,Healthcare Representative,0,13,231,94,2527,22870,No,80,2,2,2,2,2,No,Sometimes,2,3,1,3,12,2
Alondra,IDSL376,F,32,Single,Marketing,2,Sales,Sales Executive,0,5,697,87,19717,14087,Yes,80,1,0,0,0,6,No,Sometimes,1,3,3,3,11,2
Alonzo,IDSL356,M,24,Married,Medical,4,Sales,Sales Executive,2,22,1151,91,4301,2252,No,80,2,2,0,2,5,No,Mostly,4,3,2,3,16,3
Alta,IDRD960,F,48,Single,Medical,3,Research & Development,Manufacturing Director,3,2,1315,99,5197,4295,Yes,80,8,7,7,7,3,No,Sometimes,3,3,2,3,11,1
Alton,IDRD703,M,41,Married,Medical,1,Research & Development,Manager,2,22,320,74,13346,19047,Yes,80,18,6,14,17,3,No,Sometimes,4,3,5,3,14,3
Alvin,IDRD301,M,30,Divorced,Medical,2,Research & Development,Laboratory Technician,5,1,115,68,2432,12836,No,80,11,0,0,0,0,No,Sometimes,3,4,2,3,12,3
Alyson,IDRD943,F,45,Married,Life Sciences,3,Research & Development,Research Director,1,13,382,80,10845,9032,Yes,80,10,8,5,8,2,No,Sometimes,3,2,3,4,25,3
Alyssa,IDRD155,F,32,Married,Life Sciences,3,Research & Development,Manufacturing Director,1,25,440,79,5114,23334,No,80,10,12,0,9,2,No,Mostly,4,3,2,3,13,2
Amanda,IDSL017,F,18,Single,Marketing,5,Sales,Sales Representative,1,9,1495,58,4879,26933,Yes,80,3,3,2,1,2,No,Sometimes,3,3,1,3,12,3
Amaya,IDRD912,F,40,Married,Life Sciences,2,Research & Development,Healthcare Representative,2,21,295,37,7833,19133,No,80,7,7,7,5,2,No,Sometimes,3,3,3,3,16,3
Amber,IDHR007,F,31,Married,Life Sciences,4,Human Resources,Human Resources,1,15,505,76,4871,15814,No,80,7,7,0,0,3,No,Mostly,4,4,2,3,17,4
Amelia,IDRD251,F,23,Single,Life Sciences,3,Research & Development,Healthcare Representative,3,28,743,41,4520,26897,No,80,2,2,2,2,0,No,Sometimes,1,2,2,3,13,3
Amir,IDRD882,M,48,Single,Life Sciences,4,Research & Development,Manager,2,2,557,97,19589,17433,Yes,80,5,2,4,2,4,No,Sometimes,4,3,5,3,13,4
Amos,IDRD854,M,49,Married,Medical,4,Research & Development,Laboratory Technician,2,28,1198,73,3448,12026,No,80,7,7,6,1,2,No,No,1,4,4,3,12,3
Amy,IDRD055,F,26,Single,Life Sciences,2,Research & Development,Research Scientist,0,1,1341,68,4270,7802,No,80,5,2,1,2,3,Yes,Mostly,3,2,1,4,21,3
Ana,IDRD407,F,24,Single,Life Sciences,3,Research & Development,Laboratory Technician,1,1,457,95,2883,14153,No,80,4,2,1,2,4,No,Mostly,4,3,1,3,18,3
Anastasia,IDRD705,F,45,Divorced,Life Sciences,2,Research & Development,Manufacturing Director,2,1,185,44,4364,9340,Yes,80,7,4,0,3,0,No,Mostly,2,2,2,4,22,3
Andre,IDSL172,M,33,Single,Life Sciences,3,Sales,Sales Executive,1,2,1255,86,4621,17534,No,80,10,7,1,7,3,No,Sometimes,1,3,2,3,13,3
Andrea,IDRD093,F,31,Single,Medical,3,Research & Development,Laboratory Technician,3,5,418,73,3047,26174,No,80,8,4,0,9,2,No,No,4,2,1,3,12,2
Andres,IDRD471,M,50,Single,Life Sciences,4,Research & Development,Healthcare Representative,7,2,812,64,4711,22878,No,80,0,3,0,5,3,No,Sometimes,3,3,2,4,25,4
Andrew,IDRD017,M,34,Divorced,Technical Degree,3,Research & Development,Research Scientist,6,8,1328,43,5520,9984,No,80,5,1,1,2,0,No,Sometimes,3,2,2,3,11,3
Andy,IDRD441,M,44,Married,Life Sciences,1,Research & Development,Laboratory Technician,3,1,167,32,2189,15984,No,80,4,2,0,2,3,No,Sometimes,4,3,1,3,14,3
Angel,IDRD219,M,55,Divorced,Medical,2,Research & Development,Manufacturing Director,1,19,276,47,4245,7521,No,80,16,10,10,3,0,No,No,3,3,2,4,21,2
Angel,IDRD423,F,37,Single,Technical Degree,3,Research & Development,Laboratory Technician,1,24,609,33,2082,9268,No,80,6,2,1,6,3,No,Sometimes,3,3,1,3,14,2
Angela,IDSL024,F,33,Married,Medical,2,Sales,Sales Executive,7,5,518,67,19845,22716,No,80,8,7,7,7,4,No,Sometimes,4,3,4,4,23,3
Angelica,IDRD434,F,29,Divorced,Medical,4,Research & Development,Manufacturing Director,3,20,1227,41,1509,25597,No,80,8,3,0,1,1,No,Sometimes,1,3,2,3,11,3
Angelina,IDRD373,F,27,Married,Life Sciences,1,Research & Development,Research Scientist,5,6,1269,31,2846,18567,No,80,3,2,1,2,3,No,Sometimes,3,3,1,3,11,3
Angeline,IDSL396,F,49,Single,Marketing,2,Sales,Sales Executive,0,2,826,51,4540,10480,No,80,8,7,1,6,6,No,Mostly,1,3,2,3,13,3
Angelique,IDRD954,F,36,Married,Medical,3,Research & Development,Manufacturing Director,0,27,1436,81,2171,7131,No,80,10,7,5,7,2,No,Sometimes,2,3,1,3,13,1
Angelo,IDRD491,M,27,Divorced,Life Sciences,1,Research & Development,Laboratory Technician,0,2,1049,62,3527,26897,Yes,80,4,4,0,2,6,No,Sometimes,3,1,1,4,23,1
Angie,IDRD569,F,45,Single,Medical,4,Research & Development,Manufacturing Director,1,2,1318,77,6885,16874,No,80,10,9,0,8,5,No,Sometimes,2,2,2,3,11,4
Anita,IDSL100,F,34,Married,Life Sciences,1,Sales,Sales Executive,1,20,109,44,6067,13915,No,80,20,8,2,7,3,No,Mostly,3,3,2,3,15,3
Ann,IDSL041,F,31,Married,Life Sciences,1,Sales,Sales Representative,3,17,212,42,3164,15087,Yes,80,1,0,0,0,2,Yes,Sometimes,3,3,1,4,23,4
Anna,IDRD037,F,24,Single,Life Sciences,4,Research & Development,Research Scientist,1,15,464,62,2650,26933,Yes,80,9,0,0,0,2,Yes,Mostly,3,2,1,4,23,4
Annabelle,IDHR044,F,25,Married,Technical Degree,3,Human Resources,Human Resources,1,1,1257,44,4249,23387,Yes,80,3,2,1,2,4,No,Sometimes,2,3,2,3,11,3
Anne,IDSL064,F,31,Married,Life Sciences,3,Sales,Sales Executive,3,3,720,74,5975,5157,Yes,80,6,4,1,5,1,No,Sometimes,3,3,2,3,11,3
Annette,IDSL128,F,28,Married,Medical,3,Sales,Sales Representative,1,2,480,86,2445,26475,Yes,80,1,0,0,0,2,No,Sometimes,3,4,1,4,25,3
Annie,IDHR008,F,39,Married,Life Sciences,4,Human Resources,Healthcare Representative,1,29,1078,45,5322,17279,No,80,3,2,0,2,3,No,Sometimes,4,3,2,3,13,2
Anthony,IDRD013,M,44,Married,Life Sciences,4,Research & Development,Research Director,5,26,1144,51,19522,18474,Yes,80,10,0,4,10,2,No,Mostly,2,2,3,3,18,3
Antoinette,IDSL246,F,30,Married,Human Resources,1,Sales,Sales Executive,1,2,195,41,9502,22754,No,80,19,7,1,10,1,No,Mostly,3,3,3,4,21,3
Antonia,IDRD866,F,32,Single,Life Sciences,3,Research & Development,Laboratory Technician,1,1,526,57,2458,20343,Yes,80,5,3,0,3,4,No,No,4,3,1,3,12,3
Antonio,IDRD201,M,55,Single,Other,3,Research & Development,Healthcare Representative,2,8,189,81,11401,6079,No,80,3,2,2,2,3,No,Mostly,4,3,4,3,15,3
April,IDRD206,F,48,Single,Medical,2,Research & Development,Manufacturing Director,1,7,317,73,10900,6851,Yes,80,10,7,5,8,2,No,Sometimes,2,1,3,3,15,2
Archie,IDRD660,M,40,Married,Other,1,Research & Development,Laboratory Technician,2,2,1278,50,3691,6224,Yes,80,3,2,0,2,2,No,Mostly,1,3,1,3,18,2
Aria,IDRD642,F,30,Married,Life Sciences,3,Research & Development,Laboratory Technician,7,8,1186,52,3277,16557,No,80,5,3,0,2,2,No,Sometimes,1,3,1,3,17,2
Ariana,IDRD417,F,28,Single,Life Sciences,3,Research & Development,Research Scientist,1,3,1131,54,2217,3259,Yes,80,3,2,1,2,3,No,Sometimes,3,2,1,3,13,2
Arianna,IDSL223,F,41,Divorced,Medical,3,Sales,Sales Executive,1,24,1131,62,7231,2593,No,80,10,7,2,6,3,No,Sometimes,4,3,3,3,11,4
Ariel,IDRD523,F,56,Divorced,Life Sciences,2,Research & Development,Manufacturing Director,4,12,945,30,3118,21841,Yes,80,4,4,1,2,4,No,Mostly,1,1,2,4,23,2
Arlene,IDRD328,F,42,Divorced,Other,3,Research & Development,Manufacturing Director,4,1,939,35,5357,20184,No,80,4,2,0,3,2,No,Sometimes,2,3,2,3,15,4
Armando,IDSL254,M,25,Married,Life Sciences,3,Sales,Sales Executive,3,17,990,41,4869,22359,No,80,7,3,7,2,2,No,Sometimes,1,3,2,3,18,4
Arnold,IDRD409,M,40,Married,Medical,4,Research & Development,Research Director,3,2,547,72,6367,22467,No,80,4,4,1,2,5,No,Sometimes,3,4,2,4,23,3
Arthur,IDRD079,M,35,Married,Life Sciences,3,Research & Development,Healthcare Representative,3,6,518,96,4281,15482,No,80,17,7,0,7,3,No,Sometimes,3,3,2,4,20,3
Arturo,IDRD620,M,27,Single,Medical,3,Research & Development,Research Scientist,6,11,852,31,2506,8129,No,80,1,8,7,0,5,No,Sometimes,4,2,1,3,11,3
Asher,IDRD601,M,21,Married,Medical,1,Research & Development,Manufacturing Director,1,9,1036,59,2519,26897,No,80,3,2,0,2,2,No,Sometimes,1,2,1,4,22,2
Ashlee,IDRD690,F,52,Married,Medical,2,Research & Development,Laboratory Technician,4,2,664,32,9629,5116,Yes,80,1,0,0,0,5,Yes,Sometimes,3,3,2,3,13,3
Ashleigh,IDSL394,F,40,Single,Marketing,4,Sales,Manager,5,10,1455,66,10943,10828,No,80,1,0,0,0,1,No,Sometimes,3,3,5,3,18,2
Ashley,IDRD036,F,23,Single,Life Sciences,1,Research & Development,Research Scientist,1,16,120,90,2064,25031,No,80,6,4,1,4,2,No,Sometimes,1,1,1,4,24,2
Ashlyn,IDRD713,F,34,Single,Life Sciences,2,Research & Development,Research Scientist,4,1,436,57,3068,7359,No,80,3,2,6,3,3,No,Sometimes,4,3,1,3,15,4
Ashton,IDSL255,M,36,Married,Medical,3,Sales,Sales Executive,4,3,377,49,6079,18084,No,80,6,4,5,4,4,No,Mostly,1,4,2,3,12,2
Asia,IDHR061,F,27,Single,Medical,4,Human Resources,Research Scientist,1,2,1271,97,4507,9707,No,80,6,2,2,4,2,No,Sometimes,1,3,1,4,21,3
Athena,IDSL403,F,45,Single,Other,2,Sales,Sales Executive,5,9,1085,78,5355,9459,Yes,80,1,0,0,0,3,No,Mostly,1,2,2,3,13,3
Aubree,IDRD764,F,29,Married,Medical,3,Research & Development,Manufacturing Director,1,21,1374,41,4622,19228,No,80,5,3,1,3,5,No,Mostly,3,3,2,3,13,2
Aubrey,IDRD387,F,47,Divorced,Life Sciences,3,Research & Development,Research Director,3,7,1426,75,15000,23054,No,80,12,12,14,11,2,No,Sometimes,4,3,3,3,15,3
Aubrey,IDRD924,M,30,Married,Medical,1,Research & Development,Research Scientist,1,16,841,74,3302,15027,No,80,10,8,0,7,4,No,Sometimes,4,2,1,3,14,3
Audrey,IDRD174,F,33,Divorced,Life Sciences,3,Research & Development,Research Scientist,1,12,633,48,2543,6946,Yes,80,10,8,3,7,2,No,Sometimes,2,3,1,3,11,3
August,IDRD717,M,30,Divorced,Life Sciences,2,Research & Development,Laboratory Technician,2,1,1290,39,2911,15062,No,80,3,2,0,2,3,No,Sometimes,4,2,1,3,15,2
Aurora,IDRD593,F,56,Married,Life Sciences,3,Research & Development,Research Director,0,4,406,54,11511,21676,No,80,21,8,7,9,2,No,No,2,3,4,3,11,3
Austin,IDRD108,M,29,Divorced,Medical,4,Research & Development,Laboratory Technician,1,5,671,71,2047,17974,No,80,4,3,0,3,2,No,Sometimes,2,3,1,3,12,3
Autumn,IDRD364,F,26,Married,Technical Degree,3,Research & Development,Laboratory Technician,1,10,294,55,2523,6077,No,80,1,0,0,1,2,No,Sometimes,4,4,1,3,12,2
Ava,IDSL079,F,50,Single,Life Sciences,2,Sales,Sales Executive,3,19,969,79,5048,9770,No,80,5,3,0,4,4,No,Sometimes,2,2,2,3,11,3
Avery,IDRD360,F,43,Married,Life Sciences,2,Research & Development,Laboratory Technician,1,6,555,89,2852,6804,Yes,80,5,3,1,2,4,No,Sometimes,4,3,1,3,11,3
Avery,IDSL297,M,40,Divorced,Marketing,3,Sales,Manager,2,20,980,91,19151,7480,No,80,4,4,0,2,2,No,Sometimes,3,3,4,3,13,3
Axel,IDRD752,M,27,Married,Medical,1,Research & Development,Research Scientist,0,22,506,70,2360,7279,No,80,6,1,0,1,5,No,Sometimes,4,1,1,3,19,3
Ayden,IDRD515,M,42,Married,Medical,1,Research & Development,Healthcare Representative,2,8,1495,62,10573,3782,No,80,16,7,8,2,4,No,Sometimes,3,3,3,3,12,3
Bailey,IDRD419,F,30,Single,Medical,2,Research & Development,Manufacturing Director,3,18,1019,38,6037,12653,No,80,5,2,3,3,2,No,Sometimes,2,1,2,3,14,1
Barbara,IDRD016,F,22,Divorced,Life Sciences,3,Research & Development,Laboratory Technician,1,2,1397,73,2885,16833,Yes,80,0,0,0,0,3,No,Mostly,3,3,1,3,12,3
Barry,IDSL118,M,31,Divorced,Life Sciences,2,Sales,Sales Executive,1,27,111,96,4494,11966,No,80,8,7,7,7,5,Yes,No,2,3,2,3,13,4
Beatrice,IDRD254,F,35,Divorced,Life Sciences,3,Research & Development,Research Director,1,2,172,67,6386,21770,No,80,10,5,1,7,1,No,Sometimes,4,3,2,3,13,3
Beau,IDSL367,M,19,Married,Life Sciences,3,Sales,Sales Executive,1,8,1070,69,6027,15348,Yes,80,0,0,0,0,2,Yes,Sometimes,4,3,2,3,16,1
Becky,IDRD464,F,27,Married,Medical,2,Research & Development,Manufacturing Director,3,3,830,61,4578,22077,No,80,8,4,1,4,6,No,Sometimes,3,3,2,3,13,3
Belinda,IDRD506,F,31,Single,Technical Degree,4,Research & Development,Laboratory Technician,4,7,485,36,2101,16313,No,80,8,2,2,0,2,No,No,3,3,1,4,22,3
Bella,IDRD571,F,40,Divorced,Life Sciences,3,Research & Development,Manager,2,15,231,98,18398,22552,No,80,5,2,1,3,3,No,Sometimes,3,3,5,3,11,3
Ben,IDRD470,M,29,Married,Life Sciences,4,Research & Development,Research Scientist,1,1,975,65,2038,5466,No,80,9,4,0,4,4,No,Sometimes,3,3,1,3,17,3
Benjamin,IDRD049,M,37,Divorced,Technical Degree,3,Research & Development,Laboratory Technician,1,4,926,44,4842,14314,No,80,10,7,9,7,5,No,Mostly,3,3,2,3,17,3
Bennett,IDRD748,M,39,Single,Technical Degree,2,Research & Development,Research Scientist,0,1,954,30,2461,22882,No,80,3,2,1,2,2,No,Sometimes,3,2,1,3,14,4
Bennie,IDRD650,M,27,Single,Life Sciences,3,Research & Development,Laboratory Technician,1,9,461,75,1102,13816,Yes,80,1,0,0,0,5,Yes,Mostly,3,2,1,3,12,3
Benny,IDSL327,M,28,Married,Medical,3,Sales,Sales Executive,2,20,141,45,4218,24194,Yes,80,6,2,0,2,1,No,Sometimes,3,4,2,3,19,2
Bentley,IDSL340,M,38,Single,Marketing,4,Sales,Sales Executive,2,19,1021,34,4770,13722,Yes,80,9,7,6,7,3,Yes,No,4,3,2,3,14,3
Bernadette,IDRD618,F,29,Divorced,Life Sciences,3,Research & Development,Laboratory Technician,1,19,388,75,2798,15955,No,80,1,0,4,0,2,Yes,Mostly,1,2,1,3,11,3
Bernard,IDSL109,M,37,Married,Marketing,3,Sales,Sales Executive,2,18,1424,35,5481,9021,No,80,7,7,5,5,3,No,Sometimes,2,3,2,3,18,2
Bernice,IDSL120,F,40,Married,Marketing,3,Sales,Sales Executive,2,1,1284,62,10657,19028,No,80,33,2,2,2,2,No,Sometimes,2,3,3,3,14,3
Bert,IDRD868,M,42,Married,Life Sciences,4,Research & Development,Laboratory Technician,1,6,111,59,5460,13748,Yes,80,18,6,6,7,5,No,Sometimes,4,4,2,3,16,3
Bertha,IDRD247,F,42,Single,Technical Degree,2,Research & Development,Research Scientist,6,24,507,50,3498,20919,Yes,80,0,8,7,5,4,No,Sometimes,4,3,1,3,12,2
Bessie,IDRD291,F,29,Married,Life Sciences,2,Research & Development,Manufacturing Director,4,4,1088,78,9262,19782,Yes,80,9,8,0,7,2,No,Sometimes,1,3,3,4,21,2
Beth,IDHR018,F,51,Single,Life Sciences,4,Human Resources,Manufacturing Director,3,4,244,66,10220,12495,No,80,5,3,0,4,2,No,No,3,2,3,4,21,4
Bethany,IDRD406,F,27,Married,Medical,1,Research & Development,Laboratory Technician,0,2,828,66,3934,26897,No,80,4,3,1,4,2,Yes,Sometimes,4,2,1,3,17,4
Betsy,IDSL325,F,45,Single,Marketing,2,Sales,Sales Representative,0,2,964,79,2235,14906,Yes,80,6,2,1,2,4,No,Sometimes,2,4,1,3,13,3
Bette,IDSL405,F,38,Married,Medical,3,Sales,Sales Executive,0,2,1233,51,4647,17202,No,80,5,5,0,5,2,No,Mostly,4,3,2,3,19,2
Bettie,IDSL378,F,57,Single,Life Sciences,3,Sales,Manager,3,2,1295,37,16758,14498,Yes,80,4,7,0,0,5,No,Sometimes,4,3,4,3,11,3
Betty,IDRD032,F,42,Married,Other,4,Research & Development,Healthcare Representative,2,14,575,81,8940,15520,No,80,6,4,2,2,2,No,Sometimes,2,3,3,3,12,3
Beulah,IDRD519,F,46,Married,Life Sciences,2,Research & Development,Laboratory Technician,0,1,328,63,4450,18673,No,80,7,5,0,7,1,No,Sometimes,2,3,2,3,18,3
